水泥成分,,,,,水泥强度,单方水泥用量,用水量,水灰比,,,粗骨料,,细骨料,粉煤灰成分,,,,,一级粉煤灰用量,二级粉煤灰用量,矿渣成分,,,,,矿渣用量,石灰石粉,硅灰比表面积,硅灰用量,28天强度,碳化开始时间,碳化持续时间,碳化深度
C-Ca,C-Si,C-Al,C-Fe,C-Mg,strength,cement,water,ratio,waterloss,gasml,bigagregate,mosu_sm,smallagregate,FA-Ca,FA-Si,FA-Al,FA-Fe,FA-Mg,FA-1,FA-2,Slag-Ca,Slag-Si,Slag-Al,Slag-Fe,Slag-Mg,Slag,Ca-powder,Si-surface,Si-powder,strength28d,begintime,holdtime,deepth
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,882,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,33.1,28,56,0.82
64.4,17.43,6.5,3.57,2.55,,238,176,0.74,,,916,2.89,906,2.58,64.88,20.56,6.06,0.8,34,,40.71,30.61,13.98,0.32,6.43,68,,,,34.3,28,56,0.81
62.3,20.33,4.59,3.06,2.12, CEM I 42.5R,228,190,0.83,,,,,,2.58,55.1,26.6,5.7,1.3,152,,,,,,,,,,,,28,30,10.88
62.3,20.33,4.59,3.06,2.12, CEM I 42.5R,380,190,0.5,,,,,,2.58,55.1,26.6,5.7,1.3,0,,,,,,,,,,,,28,30,4.12
62.3,20.33,4.59,3.06,2.12, CEM I 42.5R,228,190,0.83,,,,,,2.58,55.1,26.6,5.7,1.3,152,,,,,,,,,,,,28,90,15.54
62.3,20.33,4.59,3.06,2.12, CEM I 42.5R,380,190,0.5,,,,,,2.58,55.1,26.6,5.7,1.3,0,,,,,,,,,,,,28,90,6.62
62.3,20.33,4.59,3.06,2.12, CEM I 42.5R,228,190,0.83,,,,,,2.58,55.1,26.6,5.7,1.3,152,,,,,,,,,,,,28,210,30.1
62.3,20.33,4.59,3.06,2.12, CEM I 42.5R,380,190,0.5,,,,,,2.58,55.1,26.6,5.7,1.3,0,,,,,,,,,,,,28,210,13.5
61.4,18.1,4.9,3.3,3.45,Cem I 42.5N,470,188,0.4,,,970,2.35,725,,,,,,,,,,,,,,,,0,50.4,28,28,55.963
61.4,18.1,4.9,3.3,3.45,Cem I 42.5N,470,282,0.6,,,970,2.35,725,,,,,,,,,,,,,,,,0,25.2,28,28,41.84
48.33,28.19,9.94,2.07,4.3,Cem III/A 42.5N,470,188,0.4,,,970,2.35,725,,,,,,,,,,,,,,,,0,44.7,28,28,50.078
48.33,28.19,9.94,2.07,4.3,Cem III/A 42.5N,470,206,0.4,,,955,2.35,680,,,,,,,,,,,,,,,,47,55.3,28,28,27.717
63.82,18.83,4.97,2.84,1.03,,380,210,0.55,,,1265,,545,1.6,65.9,22.1,3.4,0.7,0,,,,,,,,,,,35,28,28,6.4
63.82,18.83,4.97,2.84,1.03,,300,180,0.45,,,1065,,745,1.6,65.9,22.1,3.4,0.7,100,,,,,,,,,,,25.1,28,28,8.27
63.82,18.83,4.97,2.84,1.03,,300,180,0.45,,,1065,,745,1.6,65.9,22.1,3.4,0.7,100,,,,,,,,,,,32.8,28,28,4.79
63.82,18.83,4.97,2.84,1.03,,380,210,0.55,,,1265,,545,1.6,65.9,22.1,3.4,0.7,0,,,,,,,,,,,35,28,56,7.89
63.82,18.83,4.97,2.84,1.03,,300,180,0.45,,,1065,,745,1.6,65.9,22.1,3.4,0.7,100,,,,,,,,,,,25.1,28,56,10.94
63.82,18.83,4.97,2.84,1.03,,300,180,0.45,,,1065,,745,1.6,65.9,22.1,3.4,0.7,100,,,,,,,,,,,32.8,28,56,7.34
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,0,34.9,28,30,6.19
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,0,41.7,28,30,0
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,19.74,52.7,28,30,3.51
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,0,26.4,28,30,7.62
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,0,33.1,28,30,1.52
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,16.92,33.7,28,30,3.78
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,0,22.6,28,30,12.56
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,0,31.2,28,30,3.29
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,14.1,32.4,28,30,7.68
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,0,34.9,28,90,9.9
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,0,41.7,28,90,5.55
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,19.74,52.7,28,90,7.18
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,0,26.4,28,90,12.14
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,0,33.1,28,90,6.33
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,16.92,33.7,28,90,8.87
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,0,22.6,28,90,17.2
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,0,31.2,28,90,9.6
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,14.1,32.4,28,90,11.77
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,0,34.9,28,180,10.66
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,0,41.7,28,180,7.6
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,329,136.7,0.42,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,141,,,,,,,,,22.5,19.74,52.7,28,180,8.05
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,0,26.4,28,180,15.87
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,0,33.1,28,180,12.5
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,282,136.7,0.48,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,188,,,,,,,,,22.5,16.92,33.7,28,180,13.11
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,0,22.6,28,180,22.39
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,0,31.2,28,180,16.1
63.38,19,3.9,4.36,3.31,Ordinary Portland Cement 43 Grade,235,136.7,0.58,,,1278,2.63,676,1.61,55.27,26.69,8.14,0.39,235,,,,,,,,,22.5,14.1,32.4,28,180,18.55
65.3,21.94,5.85,2.5,0.9,Ordinary Portland cement 43 grade,440,195,0.44,,,1124,2.86,648,,,,,,,,,,,,,,,,0,20.83,28,14,6.76
